id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
84,Male,48,1,23,1,< 1 Year,No,57940,93,245,1
85,Male,25,1,38,0,> 2 Years,No,46732,79,283,1
86,Male,60,1,23,1,> 2 Years,Yes,41344,78,241,1
87,Female,76,1,46,1,1-2 Year,Yes,56124,102,146,1
88,Female,63,1,18,1,< 1 Year,Yes,40389,155,288,0
89,Female,25,1,29,0,> 2 Years,Yes,37356,104,229,1
90,Male,78,1,28,0,1-2 Year,Yes,20766,126,106,1
91,Male,52,0,9,1,< 1 Year,No,22478,139,77,0
92,Female,56,1,39,0,< 1 Year,Yes,40282,77,240,1
93,Female,45,1,10,1,> 2 Years,Yes,22433,35,59,1
94,Male,68,1,2,1,> 2 Years,No,42104,85,187,0
95,Female,21,1,13,1,> 2 Years,Yes,53785,37,253,0
96,Male,74,1,38,1,1-2 Year,Yes,43064,140,266,0
97,Male,33,1,27,0,> 2 Years,Yes,47003,153,14,1
98,Male,30,1,41,1,1-2 Year,No,33901,63,245,1
99,Male,37,1,20,1,1-2 Year,No,22161,119,179,0
100,Male,68,1,40,0,> 2 Years,No,26019,108,101,1
101,Male,22,1,10,0,> 2 Years,No,27111,10,83,1
102,Female,72,1,16,1,> 2 Years,Yes,39425,58,113,1
103,Male,54,1,15,1,> 2 Years,Yes,57121,103,94,1
104,Male,37,1,13,1,> 2 Years,No,32079,3,231,1
105,Female,41,1,38,1,> 2 Years,No,51713,55,100,0
106,Male,53,1,20,1,> 2 Years,Yes,58866,140,240,1
107,Male,51,1,24,1,1-2 Year,Yes,41339,45,160,1
108,Female,75,1,41,1,< 1 Year,Yes,54472,96,91,0
109,Male,62,1,7,0,> 2 Years,No,35966,33,279,1
110,Male,79,0,23,0,> 2 Years,Yes,35109,70,34,1
111,Male,65,0,24,1,1-2 Year,No,59451,6,203,0
112,Male,71,1,29,1,> 2 Years,No,53927,130,279,0
113,Female,51,1,5,0,< 1 Year,No,38386,154,106,1
114,Female,36,1,43,1,> 2 Years,Yes,43825,48,168,1
115,Female,34,1,45,0,> 2 Years,No,22269,57,184,0
116,Female,22,1,35,0,1-2 Year,Yes,25455,69,200,1
117,Female,42,1,1,1,> 2 Years,Yes,47616,41,14,1
118,Male,35,1,36,0,> 2 Years,Yes,52347,107,239,1
119,Female,77,1,18,1,> 2 Years,Yes,35278,16,240,1
120,Male,72,1,6,1,> 2 Years,Yes,46122,12,246,1
121,Female,70,1,23,1,< 1 Year,Yes,36239,15,63,0
122,Female,67,1,10,0,< 1 Year,No,46838,101,232,1
123,Male,25,1,7,1,> 2 Years,Yes,36798,21,290,0
124,Male,44,1,44,1,> 2 Years,No,52539,153,160,1
125,Male,32,1,8,0,1-2 Year,Yes,27570,158,136,1
126,Male,62,1,13,1,< 1 Year,Yes,28818,33,23,1
127,Female,30,1,30,1,1-2 Year,Yes,35061,33,294,1
128,Female,33,1,18,0,1-2 Year,Yes,59296,156,235,1
129,Male,39,1,14,1,> 2 Years,Yes,24034,90,227,0
130,Male,37,1,11,1,< 1 Year,Yes,26087,41,22,1
131,Male,30,1,42,0,< 1 Year,Yes,53420,129,213,1
132,Male,37,1,38,1,> 2 Years,Yes,36896,63,180,0
133,Male,19,1,13,0,< 1 Year,Yes,48188,39,157,1
134,Male,52,1,42,0,> 2 Years,Yes,22444,148,141,1
135,Female,64,1,44,1,1-2 Year,No,29001,77,229,0
136,Male,72,1,33,1,> 2 Years,Yes,51004,23,170,1
137,Male,36,1,13,1,< 1 Year,Yes,32687,140,126,0
138,Female,62,1,25,0,< 1 Year,Yes,48475,6,42,1
139,Male,54,1,24,1,1-2 Year,No,45078,98,104,0
140,Female,75,1,29,1,> 2 Years,Yes,44615,7,162,1
141,Female,71,1,36,1,1-2 Year,Yes,32636,51,243,0
142,Male,23,1,6,1,< 1 Year,Yes,20221,14,74,0
143,Male,31,1,18,0,> 2 Years,Yes,27094,16,155,1
144,Male,21,1,28,0,< 1 Year,Yes,46041,151,80,1
145,Male,39,1,5,1,> 2 Years,Yes,31827,18,170,1
146,Male,68,0,18,1,< 1 Year,No,28161,135,282,0
147,Female,72,1,37,0,1-2 Year,Yes,58831,68,155,1
148,Male,56,1,7,1,< 1 Year,Yes,27022,25,196,1
149,Male,53,1,9,0,1-2 Year,Yes,57871,33,105,1
150,Male,51,0,35,0,1-2 Year,No,53809,51,3,1
151,Female,44,1,12,1,1-2 Year,Yes,49695,23,153,0
152,Male,24,1,46,0,< 1 Year,Yes,41845,50,153,1
153,Male,20,1,40,1,> 2 Years,Yes,49705,149,193,1
154,Male,64,0,44,1,> 2 Years,Yes,38290,63,256,0
155,Female,50,1,39,1,> 2 Years,No,23445,149,233,0
156,Male,19,1,24,0,1-2 Year,Yes,32638,122,293,1
157,Female,59,0,9,0,> 2 Years,Yes,44257,112,269,1
158,Female,33,1,12,0,< 1 Year,Yes,43356,27,82,1
159,Male,42,1,36,1,> 2 Years,No,20897,154,143,0
160,Female,77,1,37,0,< 1 Year,Yes,56677,19,134,1
161,Male,32,1,9,1,> 2 Years,Yes,27619,58,295,1
162,Female,41,1,39,1,> 2 Years,Yes,53344,7,141,1
163,Female,32,0,46,1,> 2 Years,Yes,33986,143,76,1
164,Male,48,1,22,1,> 2 Years,Yes,26190,66,74,1
165,Male,31,1,17,1,< 1 Year,Yes,25337,46,123,1
166,Female,71,1,33,1,> 2 Years,Yes,21244,89,154,1
167,Male,31,1,47,0,1-2 Year,Yes,39466,44,22,1
168,Male,23,1,24,0,< 1 Year,No,36573,137,97,0
169,Male,31,1,15,1,1-2 Year,Yes,32146,71,107,1
170,Male,34,1,29,1,> 2 Years,No,43427,11,80,0
171,Female,35,0,32,0,1-2 Year,Yes,48757,115,193,0
172,Male,37,1,33,1,1-2 Year,Yes,59518,56,43,0
173,Male,68,1,29,1,1-2 Year,Yes,42857,132,233,1
174,Male,79,1,15,0,> 2 Years,Yes,43732,125,238,1
175,Female,34,1,27,0,> 2 Years,Yes,47642,37,171,1
176,Male,33,1,34,1,< 1 Year,Yes,24630,90,65,1
177,Female,57,0,4,1,1-2 Year,No,53840,117,267,0
178,Male,56,1,49,1,1-2 Year,Yes,33131,34,126,1
179,Female,69,1,48,0,< 1 Year,Yes,35203,80,233,1
180,Male,49,0,18,1,> 2 Years,No,23694,105,93,1
181,Male,77,1,21,1,< 1 Year,Yes,57008,47,34,0
182,Male,61,1,48,1,< 1 Year,No,38016,30,67,1
183,Female,26,1,8,0,> 2 Years,Yes,21338,118,223,1
184,Female,44,0,6,1,< 1 Year,Yes,50281,46,249,0
185,Male,63,1,20,0,> 2 Years,No,22585,80,267,1
186,Female,69,1,2,0,> 2 Years,Yes,47541,70,50,1
187,Female,50,1,45,0,< 1 Year,Yes,34101,33,110,1
188,Male,27,1,22,0,< 1 Year,No,40823,50,200,1
189,Male,34,1,21,1,< 1 Year,No,57817,15,266,1
190,Male,66,1,6,0,< 1 Year,No,41618,20,8,1
191,Male,66,0,32,1,< 1 Year,Yes,37673,127,158,0
192,Female,53,1,6,0,> 2 Years,No,36865,88,164,1
193,Female,34,1,13,1,> 2 Years,Yes,31928,40,30,1
194,Female,35,1,1,0,< 1 Year,No,44980,32,95,1
195,Male,69,1,22,1,> 2 Years,Yes,56469,97,49,1
196,Male,40,1,24,1,< 1 Year,Yes,56774,112,226,1
197,Female,51,1,41,1,> 2 Years,No,28908,12,77,0
198,Female,25,1,30,1,< 1 Year,No,21857,15,113,1
199,Female,30,1,22,0,< 1 Year,No,25253,72,250,1
200,Female,40,1,44,0,> 2 Years,Yes,59424,4,30,1
201,Female,74,1,12,1,1-2 Year,Yes,44859,27,71,1
202,Male,79,0,26,0,1-2 Year,No,44458,101,250,0
203,Male,71,1,4,1,1-2 Year,Yes,43748,39,194,0
204,Female,37,0,19,1,< 1 Year,No,42362,143,291,0
205,Female,39,1,16,1,> 2 Years,No,22361,19,46,1
206,Male,64,0,12,1,> 2 Years,No,30161,117,190,0
207,Male,69,1,33,1,< 1 Year,Yes,33992,14,252,1
208,Female,40,1,21,1,1-2 Year,No,28801,71,32,1
209,Male,58,0,36,1,1-2 Year,Yes,33969,134,156,1
210,Male,52,1,9,0,> 2 Years,No,52417,125,85,1
211,Male,20,1,39,1,1-2 Year,Yes,32532,25,256,1
212,Female,51,1,42,0,> 2 Years,Yes,46982,89,19,1
213,Female,50,1,45,1,> 2 Years,Yes,20125,50,185,1
214,Male,63,1,8,0,1-2 Year,No,45307,111,225,1
215,Female,34,0,20,0,1-2 Year,No,55098,79,135,1
216,Male,62,1,10,1,> 2 Years,Yes,21621,67,158,1
217,Male,36,1,32,0,1-2 Year,No,31007,100,263,1
218,Female,47,1,28,1,1-2 Year,No,33304,22,239,0
219,Female,40,1,10,1,> 2 Years,Yes,30608,156,58,0
220,Female,32,1,8,1,> 2 Years,Yes,27101,96,240,1
221,Female,76,1,47,0,1-2 Year,Yes,26788,103,86,1
222,Male,74,1,33,1,< 1 Year,No,46244,1,27,0
223,Male,31,0,47,1,1-2 Year,No,57958,151,40,0
224,Male,19,1,49,0,> 2 Years,Yes,55097,5,234,1
225,Male,56,1,13,1,> 2 Years,Yes,59216,112,109,1
226,Male,66,1,44,1,> 2 Years,Yes,38245,99,19,0
227,Female,35,1,35,1,> 2 Years,Yes,54620,75,125,0
228,Male,23,1,29,1,< 1 Year,Yes,36642,143,91,1
229,Female,76,1,5,0,1-2 Year,Yes,27334,132,70,1
230,Female,49,1,3,1,< 1 Year,Yes,43216,74,24,0
231,Female,38,1,37,1,> 2 Years,Yes,36915,33,254,1
232,Male,57,1,41,1,< 1 Year,Yes,54233,106,152,1
233,Male,45,1,6,1,> 2 Years,Yes,20136,46,158,1
234,Male,44,1,48,1,> 2 Years,Yes,59614,27,167,1
235,Male,19,1,42,1,> 2 Years,No,31769,107,173,1
236,Female,50,1,16,1,> 2 Years,Yes,27429,28,99,1
237,Male,33,1,35,1,1-2 Year,Yes,40069,107,245,1
238,Male,56,1,18,1,1-2 Year,Yes,48768,34,242,1
239,Female,39,1,11,1,1-2 Year,Yes,42532,157,177,1
240,Male,73,1,23,1,< 1 Year,Yes,21399,96,163,1
241,Female,60,1,47,0,< 1 Year,Yes,40110,127,148,1
242,Female,64,1,11,0,< 1 Year,Yes,23820,57,292,1
243,Female,30,1,29,1,> 2 Years,Yes,55327,124,147,0
244,Male,79,1,42,1,< 1 Year,Yes,47510,150,168,1
245,Male,73,1,27,0,> 2 Years,No,40663,143,109,1
246,Female,19,1,9,1,< 1 Year,Yes,37608,27,22,0
247,Male,31,1,35,0,> 2 Years,No,35847,123,193,1
248,Female,73,1,9,1,1-2 Year,Yes,59235,89,255,0
249,Female,55,1,18,1,1-2 Year,Yes,26427,60,227,1
250,Female,58,1,44,1,1-2 Year,Yes,29205,75,151,1
251,Male,45,1,21,0,> 2 Years,Yes,31514,72,152,1
252,Male,24,1,48,1,< 1 Year,Yes,25246,149,295,1
253,Female,35,1,36,1,> 2 Years,Yes,34115,37,87,0
254,Male,73,1,1,1,> 2 Years,No,55037,152,38,0
255,Male,58,1,27,1,< 1 Year,No,50872,110,127,1
256,Male,72,1,45,1,< 1 Year,Yes,42824,126,175,0
257,Female,53,1,40,1,> 2 Years,Yes,31958,48,103,1
258,Female,58,1,38,1,< 1 Year,Yes,36964,151,201,0
259,Male,53,1,29,0,> 2 Years,Yes,51450,13,221,0
260,Male,61,1,40,1,< 1 Year,Yes,37878,118,169,1
261,Female,21,1,19,1,> 2 Years,Yes,31764,59,107,1
262,Female,74,1,24,1,> 2 Years,No,47650,133,74,0
263,Male,47,1,44,0,> 2 Years,Yes,37287,15,48,1
264,Male,41,1,1,1,1-2 Year,Yes,34127,24,72,0
265,Female,37,1,36,1,> 2 Years,No,59482,75,191,0
266,Female,63,1,23,1,> 2 Years,Yes,55619,8,184,0
267,Female,73,1,13,1,1-2 Year,No,34926,106,23,0
268,Female,48,0,30,0,> 2 Years,No,58732,119,28,0
269,Male,41,1,49,0,1-2 Year,Yes,20570,102,169,1
270,Male,24,1,37,0,> 2 Years,Yes,35521,115,10,1
271,Female,43,1,11,0,> 2 Years,No,45917,135,107,1
272,Female,30,1,7,0,< 1 Year,Yes,24165,116,138,1
273,Female,71,1,35,1,< 1 Year,Yes,24964,152,243,1
274,Female,25,1,11,1,> 2 Years,Yes,22659,27,29,1
275,Male,72,1,49,0,< 1 Year,Yes,29191,127,41,1
276,Male,22,0,43,1,> 2 Years,Yes,24191,109,197,0
277,Female,61,1,47,1,> 2 Years,Yes,53557,3,29,0
278,Female,30,0,40,1,< 1 Year,Yes,57216,48,116,0
279,Female,46,1,48,1,1-2 Year,Yes,49686,150,50,1
280,Female,37,0,21,0,1-2 Year,Yes,23605,48,20,0
281,Female,31,1,47,0,> 2 Years,Yes,47491,29,191,1
282,Male,49,1,3,0,1-2 Year,Yes,41073,17,8,1
283,Male,77,1,30,1,1-2 Year,Yes,21489,7,217,0
284,Male,67,1,24,1,> 2 Years,No,28081,35,193,0
285,Male,44,1,38,0,< 1 Year,Yes,43625,134,100,1
286,Male,73,1,3,1,1-2 Year,Yes,30233,2,272,0
287,Male,42,1,37,1,1-2 Year,Yes,31329,39,69,1
288,Male,69,1,33,1,< 1 Year,Yes,57370,124,115,0
289,Male,21,1,22,0,< 1 Year,No,25021,102,141,0
290,Male,38,1,31,0,1-2 Year,Yes,44722,33,193,1
291,Male,35,1,46,0,< 1 Year,Yes,36196,106,20,1
292,Male,56,1,12,0,1-2 Year,No,20687,151,103,0
293,Female,32,1,45,1,> 2 Years,No,59007,116,153,0
294,Male,70,1,14,0,> 2 Years,Yes,32932,33,285,1
295,Male,55,1,12,1,1-2 Year,No,35565,89,195,1
296,Male,65,1,27,0,1-2 Year,No,58822,78,253,1
297,Female,69,1,13,0,< 1 Year,No,37066,30,274,0
298,Male,41,0,24,1,< 1 Year,Yes,41906,9,70,1
299,Female,25,1,38,1,1-2 Year,No,29382,94,92,0
300,Male,45,1,47,1,> 2 Years,Yes,23941,126,62,1
301,Male,38,1,48,1,< 1 Year,Yes,41306,71,52,1
302,Male,33,1,9,1,1-2 Year,Yes,49420,62,78,0
303,Male,77,1,8,1,> 2 Years,Yes,35539,71,154,0
304,Female,71,1,37,1,> 2 Years,Yes,58833,153,199,1
305,Female,33,1,15,0,> 2 Years,Yes,57077,51,250,1
306,Female,52,1,7,0,< 1 Year,Yes,37673,28,267,1
307,Male,34,1,24,1,< 1 Year,Yes,28298,98,21,1
308,Male,26,1,49,0,1-2 Year,No,49522,116,197,0
309,Female,74,1,16,0,< 1 Year,No,59285,125,159,1
310,Male,52,1,24,0,1-2 Year,Yes,29486,102,45,1
311,Male,69,0,43,1,> 2 Years,No,59970,67,109,0
312,Male,46,1,7,1,> 2 Years,Yes,29216,154,192,0
313,Male,56,1,43,1,< 1 Year,Yes,43086,6,283,0
314,Female,35,0,28,1,< 1 Year,Yes,30174,67,225,1
315,Female,29,1,2,1,> 2 Years,Yes,33420,14,162,1
316,Female,36,0,34,1,1-2 Year,Yes,37652,113,50,1
317,Male,65,1,38,1,> 2 Years,Yes,21297,50,100,0
318,Male,39,1,3,1,> 2 Years,Yes,27193,75,238,1
319,Male,76,1,1,1,> 2 Years,Yes,53083,145,197,1
320,Male,73,1,31,1,> 2 Years,Yes,32945,62,48,1
321,Male,66,1,23,1,1-2 Year,No,45128,144,78,1
322,Female,69,1,20,1,> 2 Years,Yes,39153,124,133,0
323,Female,32,1,16,0,1-2 Year,Yes,29258,48,13,1
324,Male,18,1,46,1,< 1 Year,No,38385,54,240,0
325,Female,19,1,32,0,< 1 Year,No,30975,134,16,1
326,Female,25,1,17,0,1-2 Year,No,47941,72,237,0
327,Male,39,1,18,1,< 1 Year,Yes,45849,117,76,1
328,Female,42,0,4,1,< 1 Year,No,25808,123,147,0
329,Male,19,1,35,0,1-2 Year,Yes,43863,30,81,1
330,Male,68,1,40,0,> 2 Years,No,33276,7,298,1
331,Male,26,1,36,1,1-2 Year,No,26568,61,199,1
332,Female,26,1,23,1,1-2 Year,Yes,31451,142,238,1
333,Male,30,1,15,0,< 1 Year,Yes,56734,64,181,1
334,Male,23,1,13,0,< 1 Year,Yes,40834,55,1,1
335,Male,47,1,14,1,> 2 Years,Yes,20598,67,142,1
336,Male,32,1,14,1,> 2 Years,Yes,47252,90,131,1
337,Female,68,1,37,0,1-2 Year,Yes,55389,58,9,0
338,Female,70,0,5,0,1-2 Year,Yes,41091,94,267,0
339,Male,32,0,22,1,> 2 Years,No,23957,157,158,0
340,Male,67,1,28,0,< 1 Year,Yes,21179,89,119,1
341,Male,24,1,45,0,1-2 Year,No,43588,68,261,0
342,Male,75,1,4,1,> 2 Years,No,28979,62,30,0
343,Male,28,1,38,1,> 2 Years,No,50133,1,243,1
344,Male,57,1,29,0,< 1 Year,No,29577,117,218,0
345,Male,55,1,37,1,< 1 Year,Yes,39887,57,91,1
346,Female,57,1,35,0,> 2 Years,Yes,41876,57,173,1
347,Female,19,1,20,1,< 1 Year,No,50573,66,246,0
348,Male,68,1,35,0,> 2 Years,Yes,52279,81,135,1
349,Male,65,1,35,1,< 1 Year,Yes,25238,61,144,0
350,Female,56,1,20,1,< 1 Year,No,55272,52,89,1
351,Male,27,1,2,1,< 1 Year,No,41950,107,169,1
352,Female,61,1,18,1,> 2 Years,Yes,49863,49,179,0
353,Female,34,1,30,0,> 2 Years,Yes,46374,23,55,1
354,Male,24,1,42,1,> 2 Years,Yes,38127,69,192,1
355,Male,71,1,29,0,1-2 Year,Yes,34309,96,179,1
356,Female,57,0,39,1,> 2 Years,No,45532,149,21,0
357,Male,56,0,22,1,> 2 Years,No,52315,9,107,0
358,Male,21,1,29,1,1-2 Year,Yes,52106,82,80,0
359,Female,52,1,46,1,> 2 Years,Yes,48210,79,233,0
360,Male,68,1,10,1,> 2 Years,No,47175,80,139,1
361,Male,64,0,20,1,> 2 Years,Yes,50578,37,200,1
362,Female,53,1,16,1,> 2 Years,Yes,59758,115,99,0
363,Male,48,1,6,1,> 2 Years,Yes,53034,5,134,0
364,Male,42,1,17,1,> 2 Years,No,55855,113,229,1
365,Female,58,1,6,1,1-2 Year,No,50409,7,203,0
366,Male,30,1,22,0,> 2 Years,Yes,26621,42,156,0
367,Female,35,1,18,0,< 1 Year,No,25560,60,170,1
368,Female,38,1,32,1,> 2 Years,No,39425,132,267,1
369,Male,65,1,28,0,> 2 Years,Yes,48736,4,198,0
370,Male,18,1,42,1,> 2 Years,Yes,32447,77,184,1
371,Male,53,0,10,1,> 2 Years,No,35484,99,206,0
372,Male,67,1,41,1,1-2 Year,Yes,30314,107,99,1
373,Male,25,1,22,0,1-2 Year,Yes,53320,146,256,1
374,Female,69,0,28,0,< 1 Year,Yes,38936,116,49,1
375,Male,65,1,15,0,< 1 Year,Yes,25458,125,161,1
376,Male,38,1,43,0,> 2 Years,Yes,47505,110,139,1
377,Female,60,1,29,1,1-2 Year,Yes,45734,13,174,0
378,Male,69,1,7,0,< 1 Year,Yes,43141,31,282,1
379,Female,70,1,34,0,< 1 Year,Yes,22100,42,156,1
380,Male,70,1,32,0,1-2 Year,No,26243,70,160,1
381,Male,38,1,2,1,> 2 Years,Yes,56188,114,202,1
382,Female,44,1,26,1,> 2 Years,No,57122,139,12,0
383,Female,36,0,45,0,< 1 Year,Yes,37773,149,245,0
384,Female,40,1,11,1,> 2 Years,Yes,31744,154,252,1
385,Female,68,1,25,1,< 1 Year,Yes,26463,15,86,1
386,Female,67,1,19,0,> 2 Years,Yes,34213,152,144,1
387,Male,68,1,20,1,< 1 Year,Yes,34465,82,255,1
388,Male,60,1,33,1,> 2 Years,Yes,56812,105,71,1
389,Female,52,0,17,0,< 1 Year,Yes,43488,28,180,0
390,Female,57,1,30,1,> 2 Years,No,35322,157,100,1
391,Female,69,1,18,0,1-2 Year,Yes,20807,52,201,1
392,Male,68,1,32,1,< 1 Year,No,45982,110,236,1
393,Male,59,1,40,1,< 1 Year,No,28809,56,156,1
394,Female,65,0,45,1,1-2 Year,No,37294,2,190,0
395,Male,22,1,4,1,> 2 Years,Yes,23485,82,157,0
396,Female,69,1,32,0,< 1 Year,Yes,49445,63,255,1
397,Female,58,1,19,0,> 2 Years,No,35201,60,211,0
398,Male,25,1,3,1,> 2 Years,Yes,25814,109,25,1
399,Female,28,1,38,0,< 1 Year,Yes,50050,109,202,0
400,Female,33,1,28,0,< 1 Year,No,53470,142,41,1
401,Male,56,1,38,1,> 2 Years,Yes,22355,28,133,1
402,Female,64,1,6,0,1-2 Year,Yes,24852,44,247,1
403,Male,41,1,40,0,< 1 Year,Yes,57384,121,117,1
404,Female,78,1,17,0,> 2 Years,No,26778,149,240,0
405,Male,38,1,42,0,< 1 Year,No,50053,34,119,1
406,Female,69,1,5,1,1-2 Year,No,39567,110,124,1
407,Male,40,1,19,0,< 1 Year,No,58867,4,133,1
408,Male,66,1,43,1,> 2 Years,Yes,59821,156,68,1
409,Female,55,1,42,0,1-2 Year,Yes,48948,39,126,1
410,Male,64,1,35,1,> 2 Years,Yes,59239,72,217,1
411,Male,25,1,22,1,1-2 Year,Yes,42643,61,32,1
412,Female,24,1,24,0,1-2 Year,Yes,43789,60,270,1
413,Female,19,1,10,1,> 2 Years,Yes,32247,144,191,1
414,Male,47,1,2,1,1-2 Year,Yes,38094,51,124,1
415,Female,30,1,28,0,1-2 Year,Yes,33609,112,286,0
416,Male,79,1,41,1,< 1 Year,Yes,45439,45,205,0
417,Male,40,1,37,0,> 2 Years,No,40112,31,245,1
418,Male,46,1,17,0,< 1 Year,Yes,43079,135,171,1
419,Female,55,1,6,1,> 2 Years,Yes,53849,51,181,1
420,Female,78,1,43,0,1-2 Year,Yes,26531,133,285,1
421,Female,54,1,5,1,< 1 Year,No,35913,41,156,1
422,Female,37,1,39,1,< 1 Year,Yes,38262,117,78,0
423,Male,50,1,7,1,> 2 Years,Yes,44888,68,202,0
424,Male,46,1,32,1,> 2 Years,Yes,51267,10,177,1
425,Male,67,1,4,1,> 2 Years,Yes,32540,99,254,1
426,Male,32,1,21,1,1-2 Year,Yes,51795,65,123,0
427,Male,40,1,42,0,< 1 Year,Yes,49589,3,90,0
